movie_id	person_id	award_id
478371	182486	103618
478371	1097965	107258
478371	712055	107258
478371	230136	106301
478371	51495	103360
478371	43227	107258
1127669	1247808	22253131
1127669	505353	22253131
1127669	505498	22253131
1346566	350704	22752868
4329652	764546	56669004
1198860	1161655	281939
31971	8644	22917729
31971	1871863	22917729
31971	11284	22917729
31971	1859204	22917729
2421441	1247808	22253133
2421441	505353	22253133
2421441	505498	22253133
1212587	357386	41417
1212587	728542	41417
1321622	965367	830079
1321622	94041	103916
1321622	453461	4671338
1321622	713301	4671338
4173637	1967513	24265493
1425082	1255794	281939
3606552	8351	22917729
3606552	16006580	22917729
515572	230128	106301
515572	230128	822907
1520430	207356	504298
1620549	350690	106291
4334797	570572	2329480
1435221	645627	21995136
1435221	1606426	22253131
1435221	1672338	22253131
1435221	507137	22253131
1435221	504191	21995136
1435221	323271	22253131
653462	919642	41417
669749	1666270	22253133
669749	367032	22752868
669749	505353	22253133
669749	708870	21995139
669749	189895	103618
669749	269505	586356
669749	655911	22253133
3018061	713301	4671338
2718620	2344642	830079
14956682	11859458	5406912
920105	182057	103916
920105	182057	3110061
4249628	328007	2329480
3129341	124057	4790397
194728	117995	4834543
3814739	58816113	1546403
1366560	1569339	4671338
1366560	459556	4671338
1167859	507122	22253131
1167859	70495	22253131
1167859	109055	22253131
841781	727904	22253133
841781	462905	22253133
841781	43247	103618
841781	43247	463085
841781	571348	22253133
841781	96606	22253133
645094	181819	103916
645094	51495	103360
645094	1161655	281939
645094	457279	106291
645094	1362097	107258
645094	1350676	22752868
468877	332530	504298
468877	332530	103360
468877	1443029	107258
468877	72984	103916
468877	290666	106291
468877	1443069	107258
2290980	374792	179808
976149	351563	21995139
730436	231221	822907
284686	239770	106301
284686	2157833	281939
2704665	230147	106301
1620639	350704	22752868
19364060	482943	22001258
1258295	8651	22917729
1258295	2549756	22917729
1258295	8346	22917729
1258295	13531127	22917729
945852	4194164	2329480
945852	4158903	2329480
606928	11300	830079
606928	505353	22253131
606928	1346696	21995136
606928	452236	281939
606928	261615	22253131
606928	964595	41417
606928	545858	3110061
542988	1507268	4671338
638085	2344642	830079
4080739	4360747	2329480
3040419	261615	22253133
3040419	279129	22253133
2071987	461726	844804
13497069	4924758	4790397
1558443	151164	734335
2403802	1064473	504298
20051329	713014	2329480
210873	1346696	21995136
237134	51547	107258
237134	51547	103360
237134	51547	586356
237134	51547	179808
237134	181774	103916
237134	181774	1790292
237134	181774	3110061
237134	181774	586140
237134	385055	107258
939495	118655	41417
2318153	642876	723830
979726	40475	103618
3828864	554301	3870548
3421741	728558	504298
1167299	206856	822907
1167299	607280	21995139
497311	319396	488651
497311	319396	22752868
1304320	471281	106291
1198132	710059	22917729
1198132	1701288	22917729
563731	1666270	22253133
563731	586320	22253133
563731	505353	22253133
563731	708870	21995139
563731	1443174	22253133
927048	83158	734335
1141582	16011268	22917729
4263270	117838006	117845627
4263270	465189	4790397
3108887	2370666	56669015
1282209	1684020	22253133
1282209	707321	21995139
1282209	2571042	22253133
1194613	1701293	830079
1194613	1569339	4671338
4224570	4365375	2329480
14956640	4414662	18693547
3224402	11369448	20002171
759322	560592	723830
759322	228906	106301
721146	56011	1419495
721146	56011	3870551
586310	53004	1061238
3227109	436384	41417
3227109	2373669	41417
2415401	233854	463085
3228547	698211	3870548
2553634	234897	840286
1627707	95068	103618
1217612	774270	21995136
1217612	727904	22253131
1217612	505108	22253131
1217612	462905	22253131
1217612	108366	3110061
1217612	1819039	21995136
1217612	505035	21995136
359119	55195	2329480
359119	328007	2329480
359119	863098	2329480
359119	4243140	2329480
359119	4269059	2329480
359119	4224941	2329480
2060027	105118	41417
1436798	681097	830079
252529	436704	21995136
252529	72595	277751
252529	72595	22253131
2247847	1441455	281939
2247847	1386549	281939
3699445	53004	3870549
3221967	59204	1061238
1232912	319396	488651
1232912	319396	22752868
1232912	181786	103916
1232912	181786	593098
262783	253384	103618
25208368	463272	22001258
61469531	463272	22001258
898840	212957	106301
898840	72717	103360
627931	8651	22917729
627931	2549756	22917729
627931	8346	22917729
627931	15999678	22917729
1197547	320036	1534906
1467214	288337	107258
1467214	288337	849124
1467214	344750	106291
1467214	344750	723830
1467214	364405	504298
4353817	367032	4671338
775988	233854	463085
12155832	117838006	117845627
3203846	56011	2089918
3203846	56011	3870555
14956650	3565213	18693547
14956650	3564840	11886693
14956650	3564840	1714070
4363366	553072	2329480
4363366	4422288	2329480
4400743	2378069	2329480
4400743	4060002	2329480
4400743	4312266	2329480
947076	465189	4790397
947076	450101	6359041
3204993	570572	2329480
1970834	4243140	2329480
1970834	4104731	56669004
1762695	712472	889840
2296238	11540745	20002171
2296238	8006	20002163
12338672	1812128	889841
1214560	516780	22120066
1214560	521379	22120066
1214560	945402	22120066
2250653	56011	3870555
623050	461477	840286
623050	313190	510175
1705301	472890	734335
1200672	19629057	111332
1200672	22101626	111332
1200672	262735	111332
3837835	465189	4790397
957893	1582156	4671338
957893	664592	4671338
27178	2161758	22253133
27178	2161758	22120095
27178	430899	22253133
27178	55245	103916
27178	55245	3110061
3391553	3612125	18693547
1697043	436530	22120066
1697043	1706396	21995136
1697043	373115	21995136
1697043	438450	22120066
1697043	2580846	21995136
1439574	95055	103618
1439574	95055	463085
1441230	1189544	11973242
830773	233850	106301
172837	53004	1061238
172837	53004	1966051
172837	53004	3895781
172837	53004	696998
172837	53004	1052227
172837	53004	889842
14956614	3565213	18693547
1964422	55198	2329480
1964422	2547318	2329480
1976498	4500586	2329480
1587353	2063009	281939
1587353	1359405	21995139
1705378	274004	734335
1687008	1680430	22917729
1687008	13493406	22917729
1687008	16015193	22917729
1687008	3942889	22917729
1687008	951368	22917729
1687008	15623015	22917729
4366413	2370666	56669015
625780	214664	22253131
625780	710335	22253131
625780	1439818	22752868
6117922	290844	4790397
671718	118655	504298
671718	364434	3110055
671718	1177119	504298
1332246	2032329	111332
659843	95068	2089918
251559	162621	106291
251559	162621	723830
251559	51575	107258
251559	51575	103360
1341875	8006	18388323
1341875	8006	3405005
4059120	4514928	2329480
4059120	4319773	56669004
4059120	4093818	56669004
4060953	713014	2329480
4060953	4530103	56669015
4060953	4422288	2329480
4060953	4093818	56669015
817159	433113	586356
817159	140017	106301
817159	182349	103916
817159	182349	593098
743203	55402	20002171
743203	2004317	20002171
1620831	1722867	41417
1620831	464764	21995139
1620831	313040	723830
244865	1380406	281939
1761994	5769649	3858187
1761994	2666954	3858187
1141493	95068	103618
1141493	95068	463085
1141493	95068	3110053
1141493	506888	22253133
1141493	506155	22120095
1141493	86885	22253133
1141493	541127	22253133
1141493	381285	1790292
1141493	234961	22120095
1141493	192185	22752868
24514576	482943	22001258
2247258	752652	3870548
1089010	664592	1422140
12321194	4992069	889840
12321194	1785267	889837
11870445	7813416	1714070
11870445	11899794	18693547
11870445	3564850	5406912
353753	103894	1790292
4231308	4497030	56669016
4231308	4428029	2329480
4231308	2024926	56669016
4231308	2002232	56669016
2368465	7939219	56669015
2368465	2365434	56669015
988004	51583	107258
988004	51583	103360
1466426	727904	22253131
1466426	505108	22253131
1466426	462905	22253131
1466426	1677007	22253131
937385	55384	209459
32011	1582156	4671338
32011	487355	4671338
2587854	80135	2329480
2587854	4457688	2329480
3425262	55381	734335
426352	507122	22253131
426352	70495	22253131
426352	436530	22120066
426352	506155	22120066
426352	234961	22120066
426352	519207	22120066
426352	517831	22120066
426352	2544572	22253131
426352	1728848	22253131
849344	373115	21995136
4439207	4360747	2329480
4439207	26184	2329480
4439207	328007	2329480
4439207	4527843	2329480
4439207	152293	56669004
4439207	862412	2329480
4439207	2545386	2329480
2292080	182986	504298
271830	723837	21995139
1194888	471309	106291
1975020	4312266	2329480
1975020	4465651	2329480
1975020	4465653	2329480
200299	1547897	830079
200299	234961	22120095
200299	51583	107258
200299	51583	103360
200299	296491	106291
200299	506014	22120095
1263921	1582156	4671338
1263921	365310	4671338
375594	253298	103618
3838066	1812128	889840
784181	312098	103916
22137288	3894049	56669004
29317382	482943	22001258
4166208	2370666	56669015
4166208	2991025	2329480
4185466	124057	4790397
1412513	59525	106301
1412513	59525	822907
11864120	3737346	1714071
1159262	55391	734335
1471671	509635	281939
1471671	376563	281939
1471671	178115	21995136
1758118	6014455	111332
1447056	344750	723830
4308467	713014	2329480
4308467	4319773	56669004
4308467	4093818	56669004
4308467	4076481	56669004
572522	117838006	117845627
572522	28001769	1546403
266596	911247	504298
266596	1291551	504298
135465	8006	209459
135465	8006	20982919
135465	8006	3873087
135465	3107382	20982919
1389525	678500	504298
1389525	540969	504298
4181546	55195	2329480
4181546	4082557	2329480
193570	507122	22253133
193570	70495	22253133
193570	51547	41417
193570	51547	586356
193570	385055	41417
193570	541127	22253133
193570	1728848	22253133
193570	229232	463085
193570	506304	41417
193570	213611	22752868
193570	213611	1422140
1257227	100937	181883
2414691	7349904	111332
7897667	660352	19833431
4183487	1913835	2329480
4183487	4362879	2329480
384397	16390	103916
747570	727904	22253131
747570	462905	22253131
747570	664592	4671338
747570	922527	22120066
747570	1273552	22253131
747570	1386352	22253131
747570	450022	22120066
747570	542481	4671338
747570	1699139	21995136
747570	961893	41417
747570	690973	21995136
747570	709413	102427
747570	711664	22120066
747570	711664	277536
1761192	55402	19833431
659099	56011	3870555
2316133	95055	463085
1628022	318263	586140
1628022	544627	978420
2162066	106126	687123
1471325	374792	179808
1198780	8651	830079
2257063	3903370	978420
2257063	2291	3870549
20038740	380846	20002171
976558	313190	209459
976558	313190	139184
2939646	1388372	20002171
4206790	1711790	2329480
4206790	4229626	2329480
1170844	53004	179808
1106038	69171	1204825
1106038	94068	1204825
1106038	73870	1204812
2061652	213425	181883
733627	234961	22120095
733627	213611	22752868
733627	1769448	107258
733627	25871	107258
733627	362210	21995139
733627	51490	103360
733627	460045	281939
938137	55796	723830
2414126	740071	111332
212129	1247808	22253133
212129	129429	103618
212129	59824	106301
212129	59824	822907
212129	1507653	22253133
212129	94992	106291
2249349	55230	2285858
2249349	55234	708135
4451600	4245008	2329480
4451600	55190	56669004
2404559	106988	1291221
3819358	232863	1011547
11898489	6162970	18693547
17217581	1321767	20982918
12009607	575154	3858187
1345583	727904	22253133
1345583	462905	22253133
1345583	178115	21995139
1345583	1386352	22253133
1345583	455568	22120095
1345583	1066019	107258
1345583	59314	106301
1345583	466680	22253133
2407907	465848	1414482
2407907	674337	578116
1195707	697383	3870549
1737875	253308	103618
10956751	17057486	3858187
641061	1443069	504298
641061	1312419	504298
641061	72267	102427
641061	1453232	504298
245208	1973924	112243
245208	93957	103916
245208	93957	593098
245208	1380406	281939
245208	717147	281939
245208	317033	22752868
245208	259446	822907
152105	8006	20002171
152105	8006	3405005
152105	8006	20982919
152105	8006	13601550
152105	3107382	20002171
152105	3135269	20002171
1168531	166723	41417
1168531	727753	2663714
584509	882	22235329
584509	3827165	22235329
584509	1123883	22235329
584509	235622	4834543
1508611	521154	22253131
1508611	521154	22120066
1508611	2062426	22253131
3541023	3564850	5406912
3005765	579058	19833556
5396073	3737346	1714071
5396073	193111	11886693
470560	51114	103360
470560	373115	21995136
470560	634059	21995136
2537602	55401	209459
651982	53004	889842
651982	53004	1258149
780350	83484	106291
3548988	367032	4671338
1373591	71275	593098
1373591	107656	1419495
4680017	7166660	889840
2873336	240896	2779726
5021556	367032	4671338
6748276	716310	944480
23089	55405	1113428
23089	55405	1414525
3740615	368071	3870557
207588	1701293	830079
207588	55420	103360
207588	55420	586356
207588	224021	106301
207588	712874	102427
207588	1162881	107258
207588	509671	21995139
207588	40912	106291
207588	2577710	281939
207588	180919	463085
862905	5350012	19833556
3822689	343299	23498085
21004008	343299	610136
862708	544404	22120066
734950	727904	22253133
734950	462905	22253133
734950	466680	22253133
734950	389849	22253133
1824959	230023	687123
1824959	927472	22752868
748924	8704	111332
1026724	727086	1534906
1122534	3925	822907
939614	181917	181883
544498	1388372	20002171
7719665	124057	4790397
6545255	5350012	19833556
2583894	56009	3870555
959267	465848	1414482
959267	55405	1113428
1139023	586320	22253131
1139023	506014	22120066
1139023	107656	1419495
1139023	506302	22253131
1139023	1508432	22253131
1139023	1337211	22120066
1139023	61859	1011509
1139023	2062126	22253131
201293	234961	22120095
201293	42786	103618
201293	42786	463085
201293	350666	504298
465773	55384	179808
465773	55384	139184
465773	55384	154590
1045165	568941	21995136
11893471	3565213	18693547
1356753	95002	103916
603819	52409	1337827
1197729	385055	41417
1197729	213811	41417
1197729	506404	41417
26060	55402	7650000
2605493	23842	2089923
1076605	55401	1337827
532006	51549	734335
4846697	11111233	5579144
18399	50003	3870548
18399	7371	1061238
18399	7371	944480
1216760	107656	1419495
64110	506888	22253131
64110	541127	22253131
1754754	23842	2089923
1217922	119935	106291
851457	55405	1113428
851457	6358169	1414482
1634714	7939219	586140
1549103	5230578	966068
1218313	327165	504298
1032779	73802	1204812
1032779	77583	1204825
1032779	77583	708731
1032779	112253	1204811
1043659	52997	670282
3416446	152301	787089
1214343	55401	19833431
1305029	288337	107258
1305029	3925	103618
1305029	3925	463085
739046	55384	734335
3418875	508329	687123
319263	633222	400007
698962	383142	830079
773964	317033	22752868
773964	259581	822907
17380816	3494889	1714070
12316767	438574	889837
1613944	55260	154590
3224838	129092	1700510
10962107	55408	1414545
2084565	1388372	20002171
211372	1247808	22253133
211372	1501408	281939
211372	72717	103360
211372	278759	21995139
211372	34012	103916
211372	34012	593098
211372	31292	102427
211372	228928	106301
211372	562874	41417
17226645	1388372	20002171
11885725	17382002	1714069
34414	3925	1419495
106284007	117838006	117845627
152493	51547	849124
152493	234961	22120095
152493	1356427	849124
2633405	55401	209459
662679	365310	4671338
662679	542481	4671338
189540	8006	1337827
189540	922612	19843065
11893643	3494889	1714070
1305622	209186	181883
1305622	11637	1011564
18402	7371	1061238
18402	7371	1966051
18402	7371	1052227
18402	7371	889842
18402	7371	944480
18402	7371	19833553
18402	296796	105304
18402	296796	6967724
18402	299419	105304
1440194	1396531	21995136
2595002	8704	111332
633399	467954	6359041
8052986	3069435	18378043
963045	71275	586140
3224766	579058	19833556
367458	633222	2089923
1764069	155202	3858187
771754	12447893	966068
771754	377789	1414533
771754	467977	388433
1094894	56009	768505
1856418	260969	510175
1129778	72717	1011509
1129778	233832	106301
3024200	107656	16612253
2303606	55388	734335
2303606	732185	3703461
1813582	107656	1011564
1813582	447791	114387698
1146404	13560398	111332
1332776	455568	22120095
1889498	2579783	41417
1889498	434645	41417
5480180	3494889	1714070
714941	367032	22752868
714941	506014	22120066
2296064	1160785	504298
237116	180251	107258
237116	102551	103916
237116	102551	1790292
237116	102551	593098
237116	102551	400007
237116	270038	103360
237116	323445	179808
237116	323445	102427
1621174	94123	106291
5411512	7813416	11886699
2017333	365310	4671338
2017333	2054753	4671338
2017333	3807499	4671338
2017333	1452367	830079
2352630	443688	889837
2352630	51127	209459
2352630	5371276	889840
622380	8873	139184
622380	8873	3353237
622380	8873	1967162
622380	8873	1328249
622380	8873	1435633
1300420	2577710	281939
1300420	980785	22253131
1300420	1065612	281939
1300420	2578830	22253131
1300420	2158525	22253131
3280762	387098	3703463
3280762	29913474	3703461
554975	51498	154590
634694	507122	22253133
634694	56011	103618
634694	56011	1419495
634694	56011	463085
634694	56011	687123
634694	56011	226003
634694	1229499	22253133
634694	2391399	22253133
634694	266521	21995139
634694	271885	822907
634694	710209	22253133
331017	1319095	21995136
3225983	351838	723830
1413227	95026	1291221
1867862	7813416	11886699
1867862	2744992	1714070
1867862	11852659	18693535
1867862	4115544	1714071
1867862	261735	1714071
486591	43247	103618
486591	102813	1790292
622382	8873	209459
622382	8873	139184
622382	8873	3353237
696057	2063009	281939
696057	1827244	21995136
696057	1998209	107258
696057	240566	102427
696057	547495	107258
696057	1501432	281939
696057	365199	22752868
696057	1680994	107258
1609570	95133	706031
797849	104067	4834543
644150	350666	504298
1957174	263696	1637197
3713689	466711	376834
1621402	51495	179808
225553	1451173	400007
669592	51490	103360
669592	72614	3703462
15438783	466535	6359055
535852	59204	1966051
535852	59204	16612253
535852	1357559	1966051
1308277	73089	154590
27149	367032	4671338
27149	586320	22253131
27149	450022	22120066
27149	506302	22253131
27149	2062126	22253131
27149	102813	103916
27149	102813	1790292
27149	102813	674165
27149	2377585	830079
27149	2316737	4671338
27149	180645	22253131
27149	104146	1011564
1423854	83484	106291
1423854	104027	593098
3351961	3107382	20002171
3351961	660352	19833431
289648	83233	111332
289648	55392	179808
2303888	55384	164200
1968853	55245	139184
1968853	55245	2663714
1968853	55245	3703462
1968853	55245	3404523
776890	50003	3870549
3549302	1685654	22120095
764962	727904	22253133
764962	657828	21995139
764962	462905	22253133
764962	1386352	22253133
764962	1508127	277751
764962	1508127	22253133
746733	1701288	22917729
746733	102813	1790292
3280865	554689	3870548
232075	2750	2089923
2385009	55391	510175
978520	230126	106301
2345	19155	114267430
371847	1687742	111332
772543	343299	23498085
1411238	55409	1113428
1411238	55409	1414525
1411238	159169	1414482
188718	103894	103916
188718	103894	1790292
188718	103894	593098
188718	25871	107258
188718	55260	103360
188718	55260	586356
188718	31292	102427
188718	219910	107258
188718	313554	22752811
188718	1037848	107258
188718	2078611	281939
188718	436584	131520
2119500	506715	41417
1263897	15853556	22917729
670607	25120	978420
610594	55433	1700510
972001	1351968	3414212
972001	325130	3414212
4875485	7175618	889840
15631862	4030	1204806
94792	106685	164200
257818	1552595	1186171
942086	922527	277536
3764866	55405	1113428
3764866	7511179	1414514
3764866	3349404	578116
1346590	51549	164200
23900063	1819079	3703461
551992	111861	1204804
3870576	55462	16612253
1402615	11996928	3858187
18405	7371	1061238
18405	7371	3703463
18405	7371	2372386
18405	296796	6967724
18405	296796	3703461
18405	106907	840286
4750199	3572656	20002171
2294492	53026	706031
1143085	53004	128649
1143085	326340	3703461
1564793	1565338	5579144
1161196	4616	16612253
4390425	1913835	51067
614864	2158525	277751
614864	232588	106301
614864	1433652	830079
614864	108510	1534906
614864	1754756	277751
614864	313198	106291
2277133	465848	4887617
2277133	7505949	388433
876259	106126	687123
3977140	56011	3870555
1183253	162389	630018
1379585	1111542	103618
1379585	1111542	1419495
1379585	1111542	463085
3071796	467954	819973
3068284	234875	1291221
974706	56011	768505
897130	469759	1281536
196977	233009	822907
657542	508329	376834
950893	55392	734335
1219582	233854	1011564
1219582	72614	670282
303477	315723	106291
303477	315723	723830
1063525	104049	708135
1063525	1616820	41417
1063525	1585851	41417
1063525	73136	1011509
1063525	968440	21995139
3222507	53050	944480
577757	657828	21995136
577757	1273552	277751
577757	1386352	277751
577757	961893	107258
577757	709413	102427
577757	697096	277536
577757	377464	281939
577757	642196	277751
577757	51535	103360
577757	51535	586356
577757	1606794	277751
577757	155712	4671338
577757	155712	5593887
2248342	108927001	1340271
1809616	248837	103618
3346013	3107382	20002171
640208	8873	516771
39946	8006	706031
39946	8006	3404587
39946	8006	19833555
3020193	343037	400007
971492	213425	181883
11882448	11896675	1714069
11882448	4357068	1714070
3133629	1562697	5579144
786097	170256	734335
1060505	960868	209459
1055223	56011	768505
1055223	56011	2372386
221354	233732	840286
1198269	317033	22752868
3907256	697383	16612253
1520037	181917	103916
1520037	181917	593098
1520037	104146	3404521
1520037	230626	106301
1233716	55452	3870549
2610975	1452367	830079
3601391	660352	19833431
1057323	59204	3703463
5399728	3565213	18693547
1118983	2549739	111332
1122037	16011268	22917729
486434	6480391	388433
622376	8873	7650000
622376	8873	1328249
622376	8873	1435633
2358316	95026	687123
2358316	95026	376834
1305092	466155	139184
180098	51495	103360
180098	51495	586356
180098	51495	787131
180098	8346	22917729
180098	319396	488651
180098	319396	22752868
180098	376563	281939
180098	178115	21995136
180098	466680	22253131
180098	389849	22253131
180098	642196	22253131
180098	5491692	830079
180098	310934	106291
180098	80739	103916
180098	176929	281939
180098	683299	723830
180098	1362717	102427
180098	16007663	22917729
180098	181230	22120066
180098	16012282	22917729
509003	78924	1204812
509003	78924	1328249
1000764	107651	1204811
1168073	274200	1291221
74750	12445270	966068
707986	586320	22253133
707986	362210	21995139
707986	506302	22253133
707986	1508432	22253133
707986	202144	106301
707986	2357822	22253133
1110062	239818	1291221
12310044	443688	889837
12310044	6085788	889840
150867	50003	3870549
150867	50003	128649
150867	53026	209459
150867	55452	128649
7750609	270441	3858187
283036	218022	3550705
62108850	343299	23498085
373774	468476	822907
1719471	7906076	1414489
1056946	55397	19833431
1056946	55397	164200
2718554	55397	19833431
223139	83410	3404523
781608	42786	3404521
781608	42786	1790273
832487	1911409	41417
832487	2331807	41417
832487	2176956	41417
832487	5126544	41417
18635106	55198	51067
374526	2316737	4671338
374526	155712	4671338
374526	155712	5593887
7304497	3494889	11886693
7304497	17382002	11886698
7304497	11863533	1714071
7304497	3662916	18693550
7304497	3662899	18693547
162331	53002	510175
162331	53002	3352913
1008351	235989	1291221
617997	106126	103618
617997	106126	1419495
617997	106126	840286
617997	106126	687123
617997	364398	107258
3452097	2161692	2779726
470544	65906	111332
190086	922527	22120095
190086	94123	181883
190086	94123	400007
190086	4616	1011564
506767	67637	449353
1304993	55190	51067
1131173	34851	463085
1131173	34851	16612253
12457804	55405	1113428
12457804	146444	1414482
86427	53001	706031
1621909	681097	830079
1621909	317033	1422140
1621909	1452367	830079
270510	1161655	281939
270510	51547	103360
270510	51547	41417
270510	51547	102427
270510	51547	139184
270510	94123	181883
270510	94123	400007
270510	95026	2089918
270510	95026	687123
270510	95026	1011564
270510	1652953	41417
270510	1292284	22253133
270510	599840	22253133
514531	55433	7650000
514531	55433	164200
652069	34851	103618
1031821	215120	5593887
3423486	156815	580698
1332867	15635052	111332
1332867	124474	111332
1632388	1565578	5579144
640276	8873	1967162
18407	7371	179808
18407	7371	3703463
18407	506734	22120095
1332957	160528	103916
1332957	230218	106301
1332957	434342	107258
1355901	215753	22752868
4003616	234961	22120095
4003616	592131	22120095
15809867	96244	708731
5468643	212535	889840
1481691	113597	1596379
862713	53004	579634
1168471	97457	1204804
489133	296796	6967724
1167736	16472	1790292
1349873	55407	1414533
11205015	6962310	966068
11205015	804792	1113428
1431661	539582	376834
3819913	107651	1204811
2295192	470831	706031
2531368	106099	840286
1215047	55433	3703463
1215047	106881	3870551
3794027	55397	19833431
25513	167475	7650000
1423540	228611	840286
163038	205314	822907
427186	326340	3703461
2031295	167023	139184
2031295	219546	1790292
2031295	219546	4834543
2031295	254828	687123
1572852	55403	20982918
1572852	55403	5280710
4417916	962900	2565389
595310	1569339	4671338
595310	534994	4671338
1621941	1337082	21995139
108297	507137	22253131
108297	323271	22253131
108297	55796	106291
108297	15807381	1011509
108297	862497	22120066
108297	1351550	22253131
108297	675760	22120066
