movie_id	person_id
27339675	1000006
17325485	1000006
819633	1000006
6842739	100043539
99739655	100049363
99739655	100050151
5376656	1000498
5376656	6531252
3597683	1000498
15362551	1000520
15362551	1314190
107274092	1000520
1527812	1000860
1527812	1974774
1527812	3156207
1527812	4137218
1527812	4231887
1004801	1000860
106517996	1000860
1969749	1000860
934144	1000860
11787810	1000912
1284439	1000912
4284292	1000912
9339347	1000912
9339347	106685
9339347	1349134
9339347	274265
9339347	323940
9339347	325626
9339347	432961
9339347	443252
9339347	55169
9339347	6185374
9339347	6582084
9339347	707485
9339347	95003
100105983	100093874
15804654	1001184
15804654	1148737
1251927	1001184
1251927	1148737
1687806	1001184
1687806	1148737
1646517	1001195
16956072	1001195
3683982	1001195
3522983	1001195
3522983	152309
3522983	20655673
3522983	323285
3522983	5301281
3522983	6181578
3522983	6370592
4354277	1001195
87067867	1001195
263460	1001362
1939405	1001362
508759	1001362
65246663	100142797
100145755	100145970
100145760	100146035
100145760	100146037
116413183	100146356
18702209	100146519
18379446	100149059
7132489	100149059
115679767	100149713
99932549	100150126
109944247	100159354
16530541	100177477
3199303	100195920
1216711	100207
1216711	2594185
232012	100247
100255139	100255155
100255219	100255254
113283822	100255483
30080477	100255483
69828989	100255483
12206786	100258703
12228488	100258703
12181370	100258703
12215181	100258703
105091466	100258703
120857801	100263870
65209453	100263870
106359068	100265400
4689603	100265400
3807750	100265892
3807750	118110011
100268946	100272015
116215157	100272015
22000492	100272015
22000492	115079413
100275068	100274911
106371947	100278619
85323392	100278619
111937028	100289244
18703117	100308653
18703117	113450129
15041814	100310
109837906	100310363
72086428	100310363
100317092	100317085
1533000	100325
29108645	100325
320319	100325
58803525	100325
62003771	100325
60062034	100325
113158890	100325223
77895617	100325223
17492289	100326095
60197026	100329180
60197026	18221846
104889029	100332989
21528122	100332989
59238943	100332989
805210	100333
805210	112819
26877527	100339
17578691	100339
28823932	100339
7091387	100339
7091387	5203459
100348684	100340500
6083538	100340500
112684634	100348028
112675132	100348028
109312581	100348052
76488883	100348052
85756018	100348052
21528066	100348454
40653114	100349335
109836231	100349905
104423070	100353921
111673646	100361917
100437198	100396419
26459185	100396419
5876454	100396419
92764265	100396419
614812	100399
614812	15810754
15990840	100412
15990840	63816
16767563	100412
1257183	100412
20814615	100412
28137039	100412
28228341	100412
16905715	100412
20814614	100412
28196183	100412
20814538	100412
18209799	100412
28130501	100412
3694484	100412
3423758	100412
7299688	100412
110761778	100415
2311410	100440
21775654	100452020
117336627	100453071
65972698	100453071
65972698	24609090
102315818	100458
250971	100458
24203121	100458
28063871	100458
28063869	100458
28063870	100458
4530547	100458
621735	100458
66024003	100458
5952747	100458
797814	100458
18809218	1004595
18391639	1004595
3828781	1004595
3874387	1004595
3819120	1004595
38226	1004595
63315692	1004595
63498347	1004595
75160902	1004595
104864342	100489282
7562944	100489282
18412946	100501227
51886109	100501227
41675549	100501227
68220930	100501227
4003247	1005179
4017606	1005179
3637690	1005179
3824249	1005179
3922584	1005179
3824250	1005179
3794087	1005179
3794559	1005179
3794559	503508
3898237	1005179
339364	1005179
3817243	1005179
3822828	1005179
3716052	1005179
3818822	1005179
3835828	1005179
3841847	1005179
3623095	1005179
722805	1005179
937853	1005179
93183143	100527050
79413773	100531126
18288508	1005321
3226391	1005321
3226391	3082381
3684109	1005321
3684109	3082381
3726442	1005321
3726442	3082381
3835923	1005321
3835923	3082381
3532764	1005321
3532764	3082381
3319990	1005321
46078953	100535135
6721117	100536956
104162457	100544534
100333030	100550994
