award_id	award_name
674165	Tony Award for Best Featured Actor in a Musical
164200	Jury Prize
3404523	David di Donatello for Best Foreign Actor
114267430	BAFTA Award for Best Foreign Actor
3414212	Hugo Award for Best Dramatic Presentation
1204806	German Film Award for best original music
1186171	Blue Ribbon Awards
1414514	Filmfare Award for Best Dialogue
1204804	German Film Award for Best Cinematography
2372386	Sant Jordi Prize
128649	David di Donatello for Best Actor
51067	Lenin Prize
4887617	Bengal Film Journalists' Association Awards
630018	Bambi Award
819973	Silver Bear for Best Actor
1281536	Filmband in Silber
5593887	Grammy Award for Best Sound Track Album or Recording of Original Cast From a Motion Picture or Television
1340271	Mainichi Film Award
516771	National Film Award for Second Best Feature Film
19833555	Blue Ribbon Awards for Best Film
3404587	FIPRESCI Prize of the Festival de Cannes
3404521	David di Donatello for Best Foreign Actress
787131	BAFTA Award for Best Direction
3550705	United Nations Awards
1414489	Filmfare Award for Best Cinematographer
18693550	Jussi Award for Best Original Score
11886698	Jussi Award for Best Supporting Actress
3352913	Bodil Award for Best Non-American Film
449353	National Prize of East Germany
580698	Filmfare Award for Best Male Playback Singer
1596379	Heinrich Greif Prize
579634	San Francisco International Film Festival
5280710	Directors Guild of Japan New Directors Award
2565389	Crystal Globe
1204815	German Film Award for Best Actress
4146630	Vasilyev Brothers State Prize of the RSFSR
6129121	Sindicato Nacional del Espectáculo
608967	Silver Shell for Best Director
13091028	Golden Globe for Best Film Promoting International Understanding
17500591	Golden Horse Award for Best Leading Actor
1967157	National Film Award for Best Non-Feature Film
108730412	Golden Gate Award
4887620	Bengal Film Journalists' Association – Best Actor Award
1266608	Silver Bear for Outstanding Artistic Contribution
19833467	Blue Ribbon Awards for Best Actor
6359057	Silver Condor Award for Best Director
610152	Silver Shell for Best Actress
19833557	Blue Ribbon Awards for Best Supporting Actress
775086	Golden Shell
1242148	Laurel Awards
640374	Tony Award for Best Direction of a Play
13634272	David di Donatello Award for Lifetime Achievement
3123491	Primetime Emmy Award for Outstanding Writing for a Drama Series
1716697	National Film Award for Best Feature Film in Hindi
39372459	Moscow International Film Festival awards
393686	Academy Award for Best Visual Effects
19952250	Courteline Prize
696972	New York Film Critics Circle Award for Best Director
1204831	German Film Award for Best Feature Film
488645	Academy Award for Best Sound Editing
17500987	Golden Horse Award for Best Director
17500983	Golden Horse Award for Best Leading Actress
1662330	Globo d'oro
949173	Mar del Plata Film Festival
833154	Edgar Awards
4376972	Grammy Award for Best Score Soundtrack for Visual Media
20002182	Mainichi Film Award for Best Supporting Actress
1789544	National Board of Review Award for Best Supporting Actor
1351858	Erich-Weinert-Medaille
20077554	Golden Arena for Best Supporting Actress
5593753	Grammy Award for Best Children's Music Album
21973897	Grammy Award for Best Recording for Children
387380	Golden Globe Award for Best Non-English Language Film
18814863	Jussi Awards 1968
787065	BAFTA Award for Best British Screenplay
3812810	Kansas City Film Critics Circle Awards 1966
1414504	Filmfare Award for Best Story
4589995	Golden Arena for Best Actor
1315008	National Society of Film Critics Award for Best Director
758861	USSR State Prize
1967202	National Film Award for Best Screenplay
7683340	Tanit d'or
1685299	Prix Jean Vigo
16687981	Nika award for the best work of the artist Costume
6978541	National Society of Film Critics Award for Best Screenplay
1435635	National Film Award for Best Direction
664212	Silver Bear Grand Jury Prize
871861	BitLocker
16687976	Nika award for the best cinematography
